A customer needs to run a MySQL database that easily scales. Which AWS service should they use?,Amazon Aurora.,Amazon Redshift.,Amazon DynamoDB.,Amazon ElastiCache.,,A
Which of the following is an AWS Cloud architecture design principle?,Implement single points of failure.,Implement loose coupling.,Implement monolithic design.,Implement vertical scaling.,,B
AWS Enterprise Support users have access to which service or feature that is not available to users with other AWS Support plans?,AWS Trusted Advisor.,AWS Support case.,Concierge team.,Amazon Connect.,,C
A company will be moving from an on-premises data center to the AWS Cloud. What would be one financial difference after the move?,Moving from variable operational expense ( opex ) to upfront capital expense (capex).,Moving from upfront capital expense (capex) to variable capital expense (capex).,Moving from upfront capital expense (capex) to variable operational expense ( opex ).,Elimination of upfront capital expense (capex) and elimination of variable operational expense ( opex ).,,C
When performing a cost analysis that supports physical isolation of a customer workload which compute hosting model should be accounted for in the Total Cost of Ownership (TCO)?,Dedicated Hosts,Reserved Instances,On-Demand Instances,No Upfront Reserved Instances,,A
Which AWS service should be used for long-term low-cost storage of data backups?,Amazon RDS.,Amazon Glacier.,AWS Snowball.,AWS EBS.,,B
Which is the MINIMUM AWS Support plan that provides technical support through phone calls?,Enterprise.,Business.,Developer.,Basic.,,B
Which Amazon EC2 instance pricing model can provide discounts of up to 90%?,Reserved Instances.,On-Demand.,Dedicated Hosts.,Spot Instances.,,D
Which of the following AWS services can be used to serve large amounts of online video content with the lowest possible latency? (Select TWO),appGateway.,Amazon S3.,Amazon Elastic File System (EFS).,Amazon Glacier.,Amazom CloudFront.,B E
What can AWS edge locations be used for? (Select TWO),Hosting applications.,Delivering content closer to users.,Running NoSQL database caching services.,Reducing traffic on the server by caching responses.,Sending notification messages to end users.,B D
A company is planning to migrate from on-premises to the AWS Cloud. When AWS tool or service provides detailed reports on estimated cost savings after migration?,AWS Total Cost of Ownership (TCO) Calculator.,Cost Explorer.,AWS Budgets.,AWS Migration Hub.,,A
Which AWS service provides a customized view of the health of specific AWS services that power a customer’s workloads running on AWS?,AWS Service Health Dashboard.,AWS X-Ray.,AWS Personal Health Dashboard.,Amazon CloudWatch.,,C
One of the advantages to moving infrastructure from an on-premises data center to the AWS Cloud is:,It allows the business to eliminate IT bills.,It allows the business to put a server in each customer’s data center.,It allows the business to focus on business activities.,It allows the business to leave servers unpatched.,,C
How can an AWS user with an AWS Basic Support plan obtain technical assistance from AWS?,AWS Senior Support Engineers.,AWS Technical Account Managers.,AWS Trusted Advisor.,AWS Discussion Forums.,,D
How can a user protect against AWS service disruptions if a natural disaster affects an entire geographic area?,Deploy applications across multiple Availability Zones within an AWS Region.,Use a hybrid cloud computing deployment model within the geographic area.,Deploy applications across multiple AWS Regions.,Store application artifacts using AWS Artifact and replicate them across multiple AWS Regions.,,C
Which activity is a customer responsibility in the AWS Cloud according to the AWS shared responsibility model?,Ensuring network connectivity from AWS to the internet.,Patching and fixing flaws within the AWS Cloud infrastructure.,Ensuring the physical security of cloud data centers.,Ensuring Amazon EBS volumes are backed up.,,D
In which scenario should Amazon EC2 Spot Instances be used?,A company wants to move its main website to AWS from an on-premises web server.,A company has a number of application services whose Service Level Agreement (SLA) requires 99.999% uptime.,A company’s heavily used legacy database is currently running on-premises.,A company has a number of infrequent interruptible jobs that are currently using On-Demand Instances.,,D
A customer is deploying a new application and needs to choose an AWS Region. Which of the following factors could influence the customer’s decision? (Select TWO),Reduced latency to users.,The application’s presentation in the local language.,Data sovereignty compliance.,Cooling costs in hotter climates.,Proximity to the customer’s office for on-site visits.,A C
Which AWS service provides alerts when an AWS event may impact a company’s AWS resources?,AWS Personal Health Dashboard.,AWS Service Health Dashboard.,AWS Trusted Advisor.,AWS Infrastructure Event Management.,,A
Which disaster recovery scenario offers the lowest probability of down time?,Backup and restore.,Pilot light.,Warm standby.,Multi-site active-active.,,D
Which service’s PRIMARY purpose is software version control?,Amazon CodeStar.,AWS Command Line Interface (AWS CLI).,Amazon Cognito.,AWS CodeCommit.,,D
How can a customer increase security to AWS account logons? (Select TWO),Configure AWS Certificate Manager,Enable Multi-Factor Authentication (MFA),Use Amazon Cognito to manage access,Configure a strong password policy,Enable AWS Organizations,B D
Which of the following components of the AWS Global Infrastructure consists of one or more discrete data centers interconnected through low latency links?,Availability Zone,Edge location,Region,Private networking,,A
One benefit of On-Demand Amazon Elastic Compute Cloud (Amazon EC2) pricing is:,The ability to bid for a lower hourly cost.,Paying a daily rate regardless of time used.,Paying only for time used.,Pre-paying for instances and paying a lower hourly rate.,,C
What can assist in evaluating an application for migration to the cloud? (Select TWO),AWS Trusted Advisor.,AWS Professional Services.,AWS Systems Manager.,AWS Partner Network (APN).,AWS Secrets Manager.,B D
A characteristic of edge locations is that they:,Host Amazon EC2 instances closer to users.,Help lower latency and improve performance for users.,Cache frequently changing data without reaching the origin server.,Refresh data changes daily.,,B
Which of the following are valid ways for a customer to interact with AWS services? (Select TWO),Command line interface.,On-premises.,Software Development Kits.,Software-as-a-service.,Hybrid.,A C
What is a value proposition of the AWS Cloud?,AWS is responsible for security in the AWS Cloud.,No long-term contract is required.,Provision new servers in days.,AWS manages user applications in the AWS Cloud.,,B
A company is migrating an application that is running non-interruptible workloads for a three-year time frame. Which pricing construct would provide the MOST cost-effective solution?,Amazon EC2 Spot Instances.,Amazon EC2 Dedicated Instances.,Amazon EC2 On-Demand Instances.,Amazon EC2 Reserved Instances.,,D
Which AWS service is used to track record and audit configuration changes made to AWS resources?,AWS Shield.,AWS Config.,AWS IAM.,Amazon Inspector.,,B
Which feature of the AWS Cloud will support an international company’s requirement for low latency to all of its customers?,Fault tolerance.,Global reach.,Pay-as-you-go pricing.,High availability.,,B
How can one AWS account use Reserved Instances from another AWS account?,By using Amazon EC2 Dedicated Instances.,By using AWS Organizations consolidated billing.,By using the AWS Cost Explorer tool.,By using AWS Budgets.,,B
What are the benefits of developing and running a new application in the AWS Cloud compared to on-premises? (Select TWO),AWS automatically distributes the data globally for higher durability.,AWS will take care of operating the application.,AWS makes it easy to architect for high availability.,AWS can easily accommodate application demand changes.,AWS takes care of application security patching.,C D
Which of the following services falls under the responsibility of the customer to maintain operating system configuration security patching and networking?,Amazon RDS.,Amazon EC2.,Amazon ElastiCache.,AWS Fargate.,,B
AWS supports which of the following methods to add security to Identity and Access Management (IAM) users? (Select TWO),Implementing Amazon Rekognition.,Using AWS Shield-protected resources.,Blocking access with Security Groups.,Using Multi-Factor Authentication (MFA).,Enforcing password strength and expiration.,D E
Which service provides a hybrid storage service that enables on-premises applications to seamlessly use cloud storage?,Amazon Glacier,AWS Snowball,AWS Storage Gateway,Amazon Elastic Block Storage (Amazon EBS),,C
Where should a company go to search software listings from independent software vendors to find test buy and deploy software that runs on AWS?,AWS Marketplace.,Amazon Lumberyard.,AWS Artifact.,Amazon CloudSearch.,,A
Which of the following is a component of the AWS Global Infrastructure?,Amazon Alexa.,AWS Regions.,Amazon Lightsail.,AWS Organizations.,,B
Which Amazon EC2 pricing model adjusts based on supply and demand of EC2 instances?,On-Demand Instances.,Reserved Instances.,Spot Instances.,Convertible Reserved Instances.,,C
A company wants to migrate its applications to a VPC on AWS These applications will need to access on-premises resources. What combination of actions will enable the company to accomplish this goals? (Select TWO),Use the AWS Service Catalog to identify a list of on-premises resources that can be migrated,Build a VPN connection between an on-premises device and a virtual private gateway in the new VPC,Use Amazon Athena to query data from the on-premises database servers,Connect the company’s on-premises data center to AWS using AWS Direct Connect,Leverage Amazon CloudFront to restrict access to static web content provided through the company’s on-premises web servers,B D
A Cloud Practitioner must determine if any security groups in an AW account have been provisioned to allow unrestricted access for specific ports What is the SIMPLEST way to do this?,Review the inbound rules for each security group in the Amazon EC2 management console to check for port 0.0.0.0/0.,Run AWS Trusted Advisor and review the findings.,Open the AWS IAM console and check the inbound rule filters for open access.,In AWS Config create a custom rule that invokes an AWS Lambda function to review firewall rules for inbound access.,,B
Which of the following security-related services does AWS offer? (Select TWO),Multi-factor authentication physical tokens.,AWS Trusted Advisor security checks.,Data encryption.,Automated penetration testing.,Amazon S3 copyrighted content detection.,B C
Which of the following services have Distributed Denial of Service (DDoS) mitigation features? (Select TWO),AWS WAF.,Amazon DynamoDB.,Amazon EC2.,Amazon CloudFront.,Amazon Inspector.,A D
Which of the following AWS features enables a user to launch a pre-configured Amazon Elastic Compute Cloud (Amazon EC2) instance?,Amazon Elastic Block Store (Amazon EBS).,Amazon Machine Image.,Amazon EC2 Systems Manager.,Amazon AppStream 2.0.,,B
A solution that is able to support growth in users traffic or data size with no drop in performance aligns with which cloud architecture principle?,Think parallel.,Implement elasticity.,Decouple your components.,Design for failure.,,B
Which AWS Cloud benefit eliminates the need for users to try estimating future infrastructure usage?,Easy and fast deployment of applications in multiple Regions around the world.,Security of the AWS Cloud.,Elasticity of the AWS Cloud.,Lower variable costs due to massive economies of scale.,,C
What can users access from AWS Artifact?,AWS security and compliance documents.,A download of configuration management details for all AWS resources.,Training materials for AWS services.,A security assessment of the applications deployed in the AWS Cloud.,,A
Compared with costs in traditional and virtualized data centers AWS has:,Greater variable costs and greater upfront costs.,Fixed usage costs and lower upfront costs.,Lower variable costs and greater upfront costs.,Lower variable costs and lower upfront costs.,,D
Which AWS service would a customer use with a static website to achieve tower latency and high transfer speeds?,AWS Lambda.,Amazon DynamoDB Accelerator.,Amazon Route 53.,Amazon CloudFront.,,D
How do Amazon EC2 Auto Scaling groups help achieve high availability for a web application?,They automatically add more instances across multiple AWS Regions based on global demand of the application.,They automatically add or replace instances across multiple Availability Zones when the application needs it.,They enable the application’s stalk: content to reside closer to end users.,They are able to distribute incoming requests across a tier of web server instances.,,B
Which of the following can limit Amazon Simple Storage Service (Amazon S3) bucket access to specific users?,A public and private key-pair.,Amazon Inspector.,AWS Identity and Access Management (IAM) policies.,Security Groups.,,C
How should a customer forecast the future costs for running a new web application?,Amazon Aurora Backtrack.,Amazon CloudWatch Billing Alarms.,AWS Simple Monthly Calculator.,AWS Cost and Usage report.,,C
Where are AWS compliance documents such as an SOC 1 report located?,Amazon Inspector.,AWS CloudTrail.,AWS Artifact.,AWS Certificate Manager.,,C
Which of the following tasks is the responsibility of AWS?,Encrypting client-side data.,Configuring AWS Identity and Access Management (IAM) roles.,Securing the Amazon EC2 hypervisor.,Setting user password policies.,,C
Under the shared responsibility model which of the following areas are the customer’s responsibility? (Select TWO),Firmware upgrades of network infrastructure.,Patching of operating systems.,Patching of the underlying hypervisor.,Physical security of data centers.,Configuration of the security group.,B E
A company is looking for a scalable data warehouse solution. Which of the following AWS solutions would meet the company’s needs?,Amazon Simple Storage Service (Amazon S3).,Amazon DynamoDB.,Amazon Kinesis.,Amazon Redshift.,,D
Much AWS services provide a way to extend an on-premises architecture to the AWS Cloud? (Select TWO),Amazon EBS.,AWS Direct Connect.,Amazon CloudFront.,AWS Storage Gateway.,Amazon Connect.,B D
What are the advantages of the AWS Cloud (Select TWO),Fixed rate monthly cost.,No need to guess capacity requirements.,Increased speed to market.,Increased upfront capital expenditure.,Physical access to cloud data centers.,B C
How can the AWS Cloud increase user workforce productivity after migration from an on-premises data center?,Users do not have to wait for infrastructure provisioning.,The AWS Cloud infrastructure is much faster than an on-premises data center infrastructure.,AWS takes over application configuration management on behalf of users.,Users do not need to address security and compliance issues.,,A
Which of the following services could be used to deploy an application to servers running on-premises? (Select TWO),AWS Elastic Beanstalk.,AWS OpsWorks.,AWS CodeDeploy.,AWS Batch.,AWS X-Ray.,B C
What is an example of agility in the AWS Cloud?,Access to multiple instance types.,Access to managed services.,Using Consolidated Billing to produce one bill.,Decreased acquisition time for new compute resources.,,D
Which AWS security service protects applications from distributed denial of service attacks with always-on detection and automatic inline mitigations?,Amazon Inspector.,AWS Web Application Firewall (AWS WAF).,Elastic Load Balancing (ELB).,AWS Shield.,,D
Which of the following are advantages of AWS consolidated billing? (Choose two),The ability to receive one bill for multiple accounts.,Service limits increasing by default in all accounts.,A fixed discount on the monthly bill.,Potential volume discounts as usage in all accounts is combined.,The automatic extension of the master account’s AWS support plan to all accounts.,A D
ompany is considering using AWS for a self-hosted database that requires a nightly shutdown for maintenance and cost-saving purposes. Which service should the company use?,Amazon Redshift.,Amazon DynamoDB.,Amazon Elastic Compute Cloud (Amazon EC2) with Amazon EC2 instance store.,Amazon EC2 with Amazon Elastic Block Store (Amazon EBS).,,D
What time-savings advantage is offered with the use of Amazon Rekognition?,Amazon Rekognition provides automatic watermarking of images.,Amazon Rekognition provides automatic detection of objects appearing in pictures.,Amazon Rekognition provides the ability to resize millions of images automatically.,Amazon Rekognition uses Amazon Mechanical Turk to allow humans to bid on object detection jobs.,,B
When comparing AWS with on-premises Total Cost of Ownership (TCO) what costs are included?,Data center security,Business analysis,Project management,Operating system administration,,A
According to the AWS shared responsibility model what is AWS responsible for?,Configuring Amazon VPC,Managing application code,Maintaining application traffic,Managing the network infrastructure,,D
Which service should be used to estimate the costs of running a new project on AWS?,AWS TCO Calculator,AWS Simple Monthly Calculator,AWS Cost Explorer API,AWS Budgets,,C
Which AWS tool will identify security groups that grant unrestricted Internet access to a limited list of ports?,AWS Organizations,AWS Trusted Advisor,AWS Usage Report,Amazon EC2 dashboard,,B
Which AWS service can be used to generate alerts based on an estimated monthly bill?,AWS Config,Amazon CloudWatch,AWS X-Ray,AWS CloudTrail,Virginia) Region and represents worldwide charges.,B
Which Amazon EC2 pricing model offers the MOST significant discount when compared to On-Demand Instances?,Partial Upfront Reserved Instances for a 1-year term,All Upfront Reserved Instances for a 1-year term,All Upfront Reserved Instances for a 3-year term,No Upfront Reserved Instances for a 3-year term,,C
Which of the following is the responsibility of AWS?,Setting up AWS Identity and Access Management (IAM) users and groups,Physically destroying storage media at end of life,Patching guest operating systems,Configuring security settings on Amazon EC2 instances,- When a storage device has reached the end of its useful life AWS decommissions media using techniques detailed in NIST 800-88.,B
Which of the following is an advantage of using AWS?,AWS audits user data.,Data is automatically secure.,There is no guessing on capacity needs.,AWS manages compliance needs.,,C
Which AWS service would a customer use with a static website to achieve lower latency and high transfer speeds?,AWS Lambda,Amazon DynamoDB Accelerator,Amazon Route 53,Amazon CloudFront,,D
Which services manage and automate application deployments on AWS? (Choose two.),AWS Elastic Beanstalk,AWS CodeCommit,AWS Data Pipeline,AWS CloudFormation,AWS Config,AD
A user wants guidance on possible savings when migrating from on-premises to AWS.  Which tool is suitable for this scenario?,AWS Budgets,Cost Explorer,AWS Total Cost of Ownership (TCO) Calculator,AWS Well-Architected Tool,,C
Which principles are used to architect applications for reliability on the AWS Cloud? (Choose two.),Design for automated failure recovery,Use multiple Availability Zones,Manage changes via documented processes,Test for moderate demand to ensure reliability,Backup recovery to an on-premises environment,AB
What tasks should a customer perform when that customer suspects an AWS account has been compromised? (Choose two.),Rotate passwords and access keys.,Remove MFA tokens.,Move resources to a different AWS Region.,Delete AWS CloudTrail Resources.,Contact AWS Support.,AE
What is an example of high availability in the AWS Cloud?,Consulting AWS technical support at any time day or night,Ensuring an application remains accessible even if a resource fails,Making any AWS service available for use by paying on demand,Deploying in any part of the world using AWS Regions,,B
Which AWS security service protects applications from distributed denial of service attacks with always-on detection and automatic inline mitigations?,Amazon Inspector,AWS Web Application Firewall (AWS WAF),Elastic Load Balancing (ELB),AWS Shield,,D
A company wants to monitor the CPU usage of its Amazon EC2 resources.  Which AWS service should the company use?,AWS CloudTrail,Amazon CloudWatch,AWS Cost and Usage report,Amazon Simple Notification Service (Amazon SNS),,B
What is an AWS Identity and Access Management (IAM) role?,A user associated with an AWS resource,A group associated with an AWS resource,An entity that defines a set of permissions for use with an AWS resource,An authentication credential associated with a multi-factor authentication (MFA) token,,C
What are the advantages of Reserved Instances? (Choose two.),They provide a discount over on-demand pricing.,They provide access to additional instance types.,They provide additional networking capability.,Customers can upgrade instances as new types become available.,Customers can reserve capacity in an Availability Zone.,AE
How do Amazon EC2 Auto Scaling groups help achieve high availability for a web application?,They automatically add more instances across multiple AWS Regions based on global demand of the application.,They automatically add or replace instances across multiple Availability Zones when the application needs it.,They enable the application's static content to reside closer to end users.,They are able to distribute incoming requests across a tier of web server instances.,,B
How can one AWS account use Reserved Instances from another AWS account?,By using Amazon EC2 Dedicated Instances,By using AWS Organizations consolidated billing,By using the AWS Cost Explorer tool,By using AWS Budgets,,B
A customer runs an On-Demand Amazon Linux EC2 instance for 3 hours 5 minutes and 6 seconds.  For how much time will the customer be billed?,3 hours 5 minutes,3 hours 5 minutes and 6 seconds,3 hours 6 minutes,4 hours,,B
Which of the following AWS services provide compute resources? (Choose two.),AWS Lambda,Amazon Elastic Container Service (Amazon ECS),AWS CodeDeploy,Amazon Glacier,AWS Organizations,AB
Which AWS service enables users to deploy infrastructure as code by automating the process of provisioning resources?,Amazon GameLift,AWS CloudFormation,AWS Data Pipeline,AWS Glue,,B
Which AWS services provide a way to extend an on-premises architecture to the AWS Cloud? (Choose two.),Amazon EBS,AWS Direct Connect,Amazon CloudFront,AWS Storage Gateway,Amazon Connect,BD
Which of the following allows users to provision a dedicated network connection from their internal network to AWS?,AWS CloudHSM,AWS Direct Connect,AWS VPN,Amazon Connect,,B
Which services use AWS edge locations? (Choose two.),Amazon CloudFront,AWS Shield,Amazon EC2,Amazon RDS,Amazon ElastiCache,AB
Which service would provide network connectivity in a hybrid architecture that includes the AWS Cloud?,Amazon VPC,AWS Direct Connect,AWS Directory Service,Amazon API Gateway,,A
Which tool can be used to compare the costs of running a web application in a traditional hosting environment to running it on AWS?,AWS Cost Explorer,AWS Budgets,AWS Cost and Usage report,AWS Total Cost of Ownership (TCO) Calculator,,D
What is the value of using third-party software from AWS Marketplace instead of installing third-party software on Amazon EC2? (Choose two.),Users pay for software by the hour or month depending on licensing.,AWS Marketplace enables the user to launch applications with 1-Click.,AWS Marketplace data encryption is managed by a third-party vendor.,AWS Marketplace eliminates the need to upgrade to newer software versions.,Users can deploy third-party software without testing.,AB
Which of the following is a cloud architectural design principle?,Scale up not out.,Loosely couple components.,Build monolithic systems.,Use commercial database software.,,B
Under the shared responsibility model; which of the following areas are the customer's responsibility? (Choose two.),Firmware upgrades of network infrastructure,Patching of operating systems,Patching of the underlying hypervisor,Physical security of data centers,Configuration of the security group,BE
Which service enables customers to audit and monitor changes in AWS resources?,AWS Trusted Advisor,Amazon GuardDuty,Amazon Inspector,AWS Config,,D
Which AWS service identifies security groups that allow unrestricted access to a user's AWS resources?,AWS CloudTrail,AWS Trusted Advisor,Amazon CloudWatch,Amazon Inspector,,B
According to the AWS shared responsibility model who is responsible for configuration management?,It is solely the responsibility of the customer.,It is solely the responsibility of AWS.,It is shared between AWS and the customer.,It is not part of the AWS shared responsibility model.,,C
Which AWS service is a content delivery network that securely delivers data video and applications to users globally with low latency and high speeds?,AWS CloudFormation,AWS Direct Connect,Amazon CloudFront,Amazon Pinpoint,,C
Which benefit of the AWS Cloud supports matching the supply of resources with changing workload demands?,Security,Reliability,Elasticity,High availability,,C
A user is running an application on AWS and notices that one or more AWS-owned IP addresses is involved in a distributed denial-of-service (DDoS) attack.  Who should the user contact FIRST about this situation?,AWS Premium Support,AWS Technical Account Manager,AWS Solutions Architect,AWS Abuse team,,D
Which of the following are benefits of hosting infrastructure in the AWS Cloud? (Choose two.),There are no upfront commitments.,AWS manages all security in the cloud.,Users have the ability to provision resources on demand.,Users have access to free and unlimited storage.,Users have control over the physical infrastructure.,AC
What AWS service would be used to centrally manage AWS access policies across multiple accounts?,AWS Service Catalog,AWS Config,AWS Trusted Advisor,AWS Organizations,,D
What is AWS Trusted Advisor?,It is an AWS staff member who provides recommendations and best practices on how to use AWS.,It is a network of AWS partners who provide recommendations and best practices on how to use AWS.,It is an online tool with a set of automated checks that provides recommendations on cost optimization performance and security.,It is another name for AWS Technical Account Managers who provide recommendations on cost optimization performance and security.,,C
Which AWS service or feature allows a company to visualize understand and manage AWS costs and usage over time?,AWS Budgets,AWS Cost Explorer,AWS Organizations,Consolidated billing,,B
Which AWS service offers on-demand access to AWS security and compliance reports?,AWS CloudTrail,AWS Artifact,AWS Health,Amazon CloudWatch,,B
What are the benefits of using the AWS Cloud for companies with customers in many countries around the world? (Choose two.),Companies can deploy applications in multiple AWS Regions to reduce latency.,Amazon Translate automatically translates third-party website interfaces into multiple languages.,Amazon CloudFront has multiple edge locations around the world to reduce latency.,Amazon Comprehend allows users to build applications that can respond to user requests in many languages.,Elastic Load Balancing can distribute application web traffic to multiple AWS Regions around the world which reduces latency.,AC
Which AWS service handles the deployment details of capacity provisioning load balancing Auto Scaling and application health monitoring?,AWS Config,AWS Elastic Beanstalk,Amazon Route 53,Amazon CloudFront,,B
Which AWS service provides inbound and outbound network ACLs to harden external connectivity to Amazon EC2?,AWS IAM,Amazon Connect,Amazon VPC,Amazon API Gateway,,C
When a company provisions web servers in multiple AWS Regions what is being increased?,Coupling,Availability,Security,Durability,,B
The pay-as-you-go pricing model for AWS services:,reduces capital expenditures.,requires payment up front for AWS services.,is relevant only for Amazon EC2 Amazon S3 and Amazon RDS.,reduces operational expenditures.,,A
Under the AWS shared responsibility model AWS is responsible for which security-related task?,Lifecycle management of IAM credentials,Physical security of global infrastructure,Encryption of Amazon EBS volumes,Firewall configuration,,B
Which AWS service enables users to consolidate billing across multiple accounts?,Amazon QuickSight,AWS Organizations,AWS Budgets,Amazon Forecast,Ltd (AISPL) accounts.,B
An administrator needs to rapidly deploy a popular IT solution and start using it immediately. Where can the administrator find assistance?,AWS Well-Architected Framework documentation.,Amazon CloudFront.,AWS CodeCommit.,AWS Quick Start reference deployments.,,D
What is one of the advantages of the Amazon Relational Database Service (Amazon RDS)?,It simplifies relational database administration tasks.,It provides 99.99999999999% reliability and durability.,It automatically scales databases for loads.,It enables users to dynamically adjust CPU and RAM resources.,,A
Which of the following AWS Cloud services can be used to run a customer-managed relational database?,Amazon EC2.,Amazon Route 53.,Amazon ElastiCache.,Amazon DynamoDB.,,A
A user is planning to launch two additional Amazon EC2 instances to increase availability. Which action should the user take?,Launch the instances across multiple Availability Zones in a single AWS Region.,Launch the instances as EC2 Reserved Instances in the same AWS Region and the same Availability Zone.,Launch the instances in multiple AWS Regions but in the same Availability Zone.,Launch the instances as EC2 Spot Instances in the same AWS Region but in different Availability Zones.,,A
Which of the following can limit Amazon Simple Storage Service (Amazon S3) bucket access to specific users?,A public and private key-pair.,Amazon Inspector.,AWS Identity and Access Management (IAM) policies.,Security Groups.,,C
Which AWS service allows companies to connect an Amazon VPC to an on-premises data center? (Select TWO),AWS VPN.,Amazon Redshift.,API Gateway.,Amazon Direct Connect.,,A D
Which AWS service or feature can be used to monitor CPU usage?,AWS CloudTrail.,VPC Flow Logs.,Amazon CloudWatch.,AWS Config.,,C
Which task is AWS responsible for in the shared responsibility model for security and compliance?,Granting access to individuals and services.,Encrypting data in transit.,Updating Amazon EC2 host firmware.,Updating operating systems.,,C
Which of the following security-related actions are available at no cost?,Calling AWS Support.,Contacting AWS Professional Services to request a workshop.,Accessing forums blogs and whitepapers.,Attending AWS classes at a local university.,,C
Which storage service can be used as a low-cost option for hosting static websites?,Amazon Glacier.,Amazon DynamoDB.,Amazon Elastic File System (Amazon EFS).,Amazon Simple Storage Service (Amazon S3).,,D
According to the AWS shared responsibility model what is the sole responsibility of AWS?,Application security.,Edge location management.,Patch management.,Client-side data.,,B
Which of the following are pillars of the AWS Well-Architected Framework? (Select TWO),Multiple Availability Zones.,Performance efficiency.,Security.,Encryption usage.,High availability.,B C
Which AWS service identifies security groups that allow unrestricted access to a user’s AWS resources?,AWS Trusted Advisor.,Amazon Inspector.,Amazon CloudWatch.,AWS CloudTrail.,,A
Which design principles for cloud architecture are recommended when re-architecting a large monolithic application? (Select TWO),Use manual monitoring.,Use fixed servers.,Implement loose coupling.,Rely on individual components.,Design for scalability.,C E
When architecting cloud applications which of the following are a key design principle?,Use the largest instance possible.,Provision capacity for peak load.,Use the Scrum development process.,Implement elasticity.,,D
A company has deployed several relational databases on Amazon EC2 instances. Every month the database software vendor releases new security patches that need to be applied to the databases. What is the MOST efficient way to apply the security patches?,Connect to each database instance on a monthly basis and download and apply the necessary security patches from the vendor.,Enable automate patching for the instances using the Amazon RDS console.,In AWS Config. configure a rule for the instances and the required patch level.,Use AWS Systems Manager to automate database patching according to a schedule.,,D
Which mechanism allows developers to access AWS services from application code?,AWS Software Development Kit.,AWS Management Console.,AWS CodePipeline.,AWS Config.,,A
Which AWS feature will reduce the customer’s total cost of ownership (TCO)?,Shared responsibility security model.,Single tenancy.,Elastic computing.,Encryption.,,C
Which of the following is a benefit of using the AWS Cloud?,Permissive security removes the administrative burden.,Ability to focus on revenue-generating activities.,Control over cloud network hardware.,Choice of specific cloud hardware vendors.,,B
Which of the following are categories of AWS Trusted Advisor? (Select TWO),Fault Tolerance.,Instance Usage.,Infrastructure.,Performance.,Storage Capacity.,A D
What is Amazon CloudWatch?,A code repository with customizable build and team commit features.,A metrics repository with customizable notification thresholds and channels.,A security configuration repository with threat analytics.,A rule repository of a web application firewall with automated vulnerability prevention features.,,B
Under the AWS shared responsibility model which of the following activities are the customer’s responsibility? (Select TWO),Patching operating system components for Amazon Relational Database Server (Amazon RDS).,Encrypting data on the client-side.,Training the data center staff.,Configuring Network Access Control Lists (ACL).,Maintaining environmental controls within a data center.,B D
Under the shared responsibility model which of the following is a shared control between a customer and AWS?,Physical controls.,Patch management.,Zone security.,Data center auditing.,,B
Which AWS service is used to pay AWS bills and monitor usage and budget costs?,AWS Billing and Cost Management.,Consolidated billing.,Amazon CloudWatch.,Amazon QuickSight.,,A
How do customers benefit from Amazon’s massive economies of scale?,Periodic price reductions as the result of Amazon’s operational efficiencies.,New Amazon EC2 instance types providing the latest hardware.,The ability to scale up and down when needed.,Increased reliability in the underlying hardware of Amazon EC2 instances.,,A
Which AWS feature allows a company to take advantage of usage tiers for services across multiple member accounts?,Service control policies (SCPs).,Consolidated billing.,All Upfront Reserved Instances.,AWS Cost Explorer.,,B
Which AWS services provide a way to extend an on-premises architecture to the aws cloud? (Select TWO),Amazon EBS.,Amazon Connect.,AWS Storage Gateway.,Amazon CloudFront.,AWS Direct Connect.,C E
Which of the following services will automatically scale with an expected increase in web traffic?,AWS CodePipeline.,Elastic Load Balancing.,Amazon EBS.,AWS Direct Connect.,,B
Which service provides a virtually unlimited amount of online highly durable object storage?,Amazon Redshift.,Amazon Elastic File System (Amazon EFS).,Amazon Elastic Container Service (Amazon ECS).,Amazon S3.,,D
Which AWS feature should a customer leverage to achieve high availability of an application?,AWS Direct Connect.,Availability Zones.,Data centers.,Amazon Virtual Private Cloud (Amazon VPC).,,B
Which AWS service or feature can enhance network security by blocking requests from a particular network for a web application on AWS? (Select TWO),AWS WAF.,AWS Trusted Advisor.,AWS Direct Connect.,AWS Organizations.,Network ACLs.,A E
Which of the following is a cloud architectural design principle?,Scale up not out.,Loosely couple components.,Build monolithic systems.,Use commercial database software.,,B
Which service enables risk auditing by continuously monitoring and logging account activity including user actions in the AWS Management Console and AWS SDKs?,Amazon CloudWatch.,AWS CloudTrail.,AWS Config.,AWS Health.,,B
Where can AWS compliance and certification reports be downloaded?,AWS Artifact.,AWS Concierge.,AWS Certificate Manager.,AWS Trusted Advisor.,,A
The financial benefits of using AWS are: (Select TWO),Reduced Total Cost of Ownership (TCO).,Increased capital expenditure (capex).,Reduced operational expenditure ( opex ).,Deferred payment plans for startups.,Business credit lines for startups.,A C
Which AWS service can serve a static website?,Amazon S3.,Amazon Route 53.,Amazon QuickSight.,AWS X-Ray.,,A
What are the benefits of using the AWS Cloud for companies with customers in many countries around the world (Select TWO),Companies can deploy applications in multiple AWS Regions to reduce latency.,Amazon Translate automatically translates third-party website interfaces into multiple languages.,Amazon CloudFront has multiple edge locations around the world to reduce latency.,Amazon Comprehend allows users to build applications that can respond to user requests in many languages.,Elastic Load Balancing can distribute application web traffic to multiple AWS Regions around the world which reduces latency.,A C
